City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,qaqortoq,60.7167,-46.0333,-6.93,94,95,1.61,GL,1699932681
118,luganville,-15.5333,167.1667,24.57,81,100,6.35,VU,1699932681
119,puerto natales,-51.7236,-72.4875,1.71,77,84,5.7,CL,1699932114
120,huai'an,33.5886,119.0192,10.05,42,0,2.63,CN,1699932682
121,yantzaza,-3.8278,-78.7594,19.7,99,32,0.43,EC,1699932683
122,port lincoln,-34.7333,135.8667,17.53,67,58,4.37,AU,1699932640
123,rio grande,-32.035,-52.0986,18.86,95,100,3.13,BR,1699932684
124,singarayakonda,15.25,80.0333,26.58,74,100,4.58,IN,1699932685
125,kingston,17.997,-76.7936,28.53,79,20,1.54,JM,1699931838
126,san julian,21.0167,-102.1667,18.89,53,99,2.75,MX,1699932687
127,bubaque,11.2833,-15.8333,27.92,68,35,3.88,GW,1699932676
128,hermanus,-34.4187,19.2345,14.92,80,43,8.11,ZA,1699932574
129,san antonio de pale,-1.4014,5.6325,26.13,79,19,3.07,GQ,1699932689
130,luwuk,-0.9516,122.7875,31.46,62,81,1.32,ID,1699932690
131,hamilton,39.1834,-84.5333,10.24,57,0,1.34,US,1699932690
132,antsiranana,-12.2787,49.2917,26.68,73,76,4.0,MG,1699932658
133,saipan,15.1355,145.701,31.39,66,40,9.26,MP,1699932414
134,anadyr,64.75,177.4833,-13.72,71,5,12.0,RU,1699932692
135,acapulco de juarez,16.8634,-99.8901,29.9,74,0,4.63,MX,1699932687
136,okhotsk,59.3833,143.3,-13.86,77,77,6.58,RU,1699932694
137,padang,-0.9492,100.3543,29.03,82,46,1.83,ID,1699932410
138,fort bragg,35.139,-79.006,8.78,85,0,0.0,US,1699932695
139,nadi,-17.8,177.4167,32.0,58,75,6.17,FJ,1699932696
140,tarfaya,27.9358,-12.9218,21.37,64,0,4.66,MA,1699932696
141,ribeira grande,38.5167,-28.7,16.54,81,100,2.68,PT,1699932598
142,rongelap,11.1635,166.8941,27.93,82,100,7.96,MH,1699932698
143,labrador city,52.9463,-66.9114,-10.05,92,100,2.57,CA,1699932699
144,richards bay,-28.783,32.0377,17.6,78,100,4.69,ZA,1699932700
145,avarua,-21.2078,-159.775,23.03,64,20,3.6,CK,1699932700
146,yigo village,13.5361,144.8886,31.62,72,75,10.29,GU,1699932404
147,djibouti,11.5,42.5,22.89,75,50,5.6,DJ,1699932701
148,dublin,37.7021,-121.9358,15.18,80,0,3.6,US,1699932428
149,lompoc,34.6391,-120.4579,14.18,82,0,3.09,US,1699932619
150,kodiak,57.79,-152.4072,4.73,48,0,4.63,US,1699932525
151,plettenberg bay,-34.0527,23.3716,14.3,80,5,3.22,ZA,1699932704
152,sao vicente,-23.9631,-46.3919,27.93,26,71,0.45,BR,1699932704
153,antsohihy,-14.8796,47.9875,27.5,72,69,0.79,MG,1699932705
154,zeya,53.75,127.2667,-6.4,54,100,0.32,RU,1699932706
155,laojunmiao,39.8333,97.7333,0.91,33,92,4.39,CN,1699932706
156,flying fish cove,-10.4217,105.6791,27.82,74,100,5.14,CX,1699932707
157,forster,-32.1667,152.5167,23.54,69,60,6.79,AU,1699932708
158,chizhou,30.6578,117.4831,12.15,38,0,0.44,CN,1699932708
159,walvis bay,-22.9575,14.5053,15.53,88,0,1.54,NA,1699932586
160,guanica,17.9716,-66.908,26.21,62,0,3.04,PR,1699932709
161,tweed heads,-28.1817,153.547,27.76,71,62,5.14,AU,1699932710
162,vilyuchinsk,52.9306,158.4028,-2.26,70,100,2.62,RU,1699932555
163,bowen,-20.0167,148.2333,26.19,53,0,5.71,AU,1699932711
164,la ronge,55.1001,-105.2842,1.14,75,100,4.63,CA,1699932711
165,hadithah,34.1397,42.3781,20.98,34,93,3.02,IQ,1699932712
166,hit,33.6416,42.8251,21.52,31,93,2.6,IQ,1699932712
167,kununurra,-15.7667,128.7333,35.99,44,72,2.57,AU,1699932470
168,tarawa,1.419,172.984,28.05,94,75,5.66,KI,1699932713
169,georgetown,5.4112,100.3354,29.96,79,20,2.57,MY,1699932613
170,afaahiti,-17.75,-149.2833,27.93,90,95,6.49,PF,1699932715
171,chibougamau,49.9168,-74.3659,-5.21,93,100,3.09,CA,1699932715
172,bozeman,45.6796,-111.0386,12.68,45,0,2.06,US,1699932716
173,olpad,21.3333,72.75,24.99,34,100,3.66,IN,1699932716
174,lillesand,58.2488,8.3778,1.05,80,100,10.29,NO,1699932717
175,hami,42.8,93.45,5.96,26,63,1.92,CN,1699932717
176,glace bay,46.1969,-59.957,2.1,94,100,2.57,CA,1699932718
177,hauterive,46.0901,3.4459,18.42,82,100,4.93,FR,1699932684
178,weno,7.4515,151.8468,30.97,74,100,1.54,FM,1699932719
179,khanbari,27.3747,87.2039,22.2,51,32,1.04,NP,1699932719
180,riberalta,-10.9833,-66.1,27.09,63,40,1.17,BO,1699932720
181,tamanrasset,22.785,5.5228,15.95,27,0,3.09,DZ,1699932720
182,nar'yan-mar,67.6713,53.087,-7.72,96,100,4.02,RU,1699932660
183,constantia,44.1833,28.65,5.39,58,54,4.04,RO,1699932528
184,vadso,70.0744,29.7487,-4.91,86,100,6.17,NO,1699932654
185,dudinka,69.4058,86.1778,-24.91,95,17,1.44,RU,1699932722
186,luderitz,-26.6481,15.1594,15.9,75,0,2.49,NA,1699932723
187,kuanda,56.3161,116.0806,-10.0,68,62,0.57,RU,1699932724
188,betio village,1.358,172.9211,28.02,80,98,8.27,KI,1699932724
189,noumea,-22.2763,166.4572,27.99,59,36,8.39,NC,1699932489
190,nakamura,32.9833,132.9333,16.8,39,0,1.1,JP,1699932725
191,vilyuysk,63.7553,121.6247,-11.01,94,100,2.39,RU,1699932726
192,namibe,-15.1961,12.1522,22.44,67,97,2.16,AO,1699932727
193,san luis de la loma,17.2706,-100.8939,26.6,83,36,2.63,MX,1699932727
194,prokhladnyy,43.7574,44.0297,6.43,90,100,2.27,RU,1699932728
195,celikhan,38.0342,38.2433,9.29,92,100,1.85,TR,1699932729
196,kone,-21.0595,164.8658,27.18,46,5,4.3,NC,1699932729
197,lakatoro,-16.0999,167.4164,25.42,71,100,7.16,VU,1699932730
198,tolanaro,-25.0319,46.9987,24.13,69,26,2.79,MG,1699932731
199,celestun,20.8667,-90.4,25.39,88,69,5.36,MX,1699932731
200,ta`u,-14.2336,-169.5144,27.3,82,57,5.21,AS,1699932732
201,port saint john's,-31.6229,29.5448,16.55,74,99,1.91,ZA,1699932687
202,plavinas,56.6178,25.7255,2.78,93,96,2.58,LV,1699932733
203,newman,37.3138,-121.0208,16.27,68,50,1.79,US,1699932543
204,bodaybo,57.8506,114.1933,-4.41,93,100,1.49,RU,1699932734
205,ilebo,-4.3167,20.5833,20.31,96,97,0.73,CD,1699932735
206,sodankyla,67.4167,26.6,-21.0,100,95,1.79,FI,1699932736
207,saint lucia,-27.5,153.0,30.2,61,20,5.66,AU,1699932737
208,hwange,-18.3693,26.5019,24.71,41,12,2.41,ZW,1699932737
209,ottumwa,41.02,-92.4113,7.52,54,0,2.06,US,1699932739
210,susuman,62.7833,148.1667,-28.33,98,76,0.53,RU,1699932575
211,mammoth lakes,37.6485,-118.9721,-2.6,47,0,1.54,US,1699932501
212,turbat,26.0023,63.044,25.53,18,52,2.02,PK,1699932740
213,vorkuta,67.5,64.0,-12.08,88,100,3.64,RU,1699932741
214,crane,31.3974,-102.3501,10.95,83,100,2.91,US,1699932741
215,coeur d'alene,47.6777,-116.7805,5.49,93,75,2.06,US,1699932743
216,keflavik,64.0049,-22.5624,7.95,65,75,7.2,IS,1699932743
217,miandrivazo,-19.5167,45.4667,25.06,66,0,1.21,MG,1699932744
